keys,zh_HK,en
UI_PAUSE_TITLE,暫停／設定,Pause / Settings
UI_SCREEN_SHAKE,鏡頭震動,Camera shake
UI_REDUCED_MOTION,減少動態效果,Reduce motion
UI_LANGUAGE,介面語言,Interface language
UI_VOLUME_MASTER,總音量,Master
UI_VOLUME_MUSIC,音樂,Music
UI_VOLUME_SFX,音效,SFX
UI_VOLUME_UI,介面音效,UI
UI_RESUME,%s · 繼續,%s · Resume
UI_RESTART_MISSION,重新開始任務,Restart mission
UI_RETURN_MISSIONS,返回任務選擇,Return to mission select
UI_MISSION_HEADING,免疫任務台,Immune Mission Desk
UI_MISSION_SUBTITLE,選擇任務，再派出最適合應對威脅嘅細胞家族。,"Choose a mission, then deploy the cell family best suited to the threat."
UI_FAMILY_HEADING,選擇出擊細胞,Choose a cell family
UI_BACK_RESEARCH,%s · 返回研究網絡,%s · Return to research network
UI_MISSION_LOCKED,尚未解鎖：先完成上一個免疫任務。,Locked: complete the previous immune mission first.
UI_DIFFICULTY,難度 %d · %s · 防守 %d 隻 · 淨化 %.1f 秒,Difficulty %d · %s · Defeat %d · Cleanse %.1f sec
UI_FAMILY_STATS,%s：%s  傷害 %d · 射程 %.1f · 移速 %.1f,%s: %s  Damage %d · Range %.1f · Speed %.1f
UI_START_MISSION,%s · 以 %s 開始任務,%s · Start mission as %s
UI_COMPLETE_TO_UNLOCK,完成上一任務後解鎖,Complete the previous mission to unlock
UI_MISSION_BADGE_COMPLETE, · 已完成, · COMPLETE
UI_MISSION_BADGE_LOCKED, · 鎖定, · LOCKED
UI_IMMUNE_CORE,免疫核心,Immune Core
UI_BOSS,首領,Boss
UI_RETRY,重新挑戰,Retry
UI_COMBAT_HUD,%s · %s · %s勤務,%s · %s · %s duty
UI_TOGGLE_DUTY,%s · 轉換勤務,%s · Switch duty
UI_ACTIVE_SKILL_READY,%s · %s,%s · %s
UI_ACTIVE_SKILL_COOLDOWN,%s · %d 秒,%s · %d sec
UI_ACTIVE_SKILL_COOLDOWN_SHORT,%s · %d秒,%s · %ds
UI_DUTY_SHORT,勤務,Duty
UI_RESEARCH_T,研究 T 鏈,Research T chain
UI_CHARACTER_INTEL,角色情報,Cell intel
UI_CHARACTER_INTEL_SHORT,情報,Intel
UI_RETURN_MISSION_DESK,返回任務台,Return to mission desk
UI_RETURN_MISSION_DESK_SHORT,任務台,Missions
UI_TUTORIAL_TITLE,任務教學,Mission Tutorial
UI_TUTORIAL_BODY,1 · 固定勤務會自動攻擊；按 %s 主動施放家族技能。\n2 · 按 %s 轉換勤務並用 WASD／左搖桿／觸控方向鍵移動。\n3 · 第二階段進入發光淨化圈並保持。\n4 · 留意每關獨有嘅感染事件。\n5 · 第三階段擊破 Boss；%s 可開啟暫停與設定。,1 · Fixed duty auto-attacks; press %s to deliberately activate your family skill.\n2 · Press %s to switch duty; move with WASD / left stick / touch pad.\n3 · Hold inside the glowing cleanse zone in phase two.\n4 · Respond to each mission's unique infection events.\n5 · Defeat the boss in phase three; %s opens pause and settings.
UI_TUTORIAL_START,%s · 開始任務,%s · Start mission
DUTY_FIXED,固定,Fixed
DUTY_RELAY,中繼,Relay
DUTY_MOBILE,移動,Mobile
STATUS_T_MOBILE_REQUIRED,需要完成 BASE-T-04 移動資格。按 %s 研究 T 細胞鏈。,Complete BASE-T-04 Mobile Clearance. Press %s to research the T-cell chain.
STATUS_DUTY_MOBILE,勤務轉換完成。使用 WASD／左搖桿推進；再次轉換可重新扎根。,Duty switched. Move with WASD / left stick; switch again to anchor.
STATUS_DUTY_FIXED,扎根完成。固定勤務會提升射速。,Anchored. Fixed duty increases fire rate.
STATUS_ACTIVE_SKILL_COOLDOWN,主動技能冷卻中：尚餘 %d 秒。,Active skill cooling down: %d sec remaining.
STATUS_ACTIVE_SKILL_NO_TARGET,主動技能範圍內暫時冇有效目標。,No valid target is currently inside active-skill range.
STATUS_ACTIVE_SKILL_USED,%s 命中 %d 個目標。,%s hit %d targets.
STATUS_ACTIVE_SKILL_HEAL,%s 命中 %d 個目標並修復核心 %d 點。,%s hit %d targets and repaired %d core HP.
STATUS_ENCOUNTER_SURGE,孢子急湧：額外 %d 隻病原加入。,Spore surge: %d extra pathogens entered.
STATUS_ENCOUNTER_CYTOKINE,細胞因子脈衝：%d 隻病原短暫加速。,Cytokine pulse: %d pathogens gained a temporary speed boost.
STATUS_ENCOUNTER_ADAPTIVE,適應性推進：生成節奏已加快 %d%%。,Adaptive advance: spawn pacing is now %d%% faster.
STATUS_ENCOUNTER_BIOFILM,生物膜再生：病原合共恢復 %d 點生命。,Biofilm bloom: pathogens restored %d total HP.
STATUS_ENCOUNTER_SYSTEMIC_SURGE,系統急湧：額外 %d 隻融合病原加入。,Systemic surge: %d extra fusion pathogens entered.
STATUS_ENCOUNTER_SYSTEMIC_BIOFILM,系統生物膜：病原合共恢復 %d 點生命。,Systemic biofilm: pathogens restored %d total HP.
STATUS_T_FIXED_COMPLETE,BASE-T-03 固定炮台專精完成。再研究一次解鎖移動。,BASE-T-03 Fixed Turret complete. Research once more to unlock movement.
STATUS_T_FIXED_BLOCKED,BASE-T-03 尚未符合研究條件。,BASE-T-03 research requirements are not met.
STATUS_T_MOBILE_COMPLETE,BASE-T-04 移動資格已授予。現在可以轉換勤務。,BASE-T-04 Mobile Clearance granted. Duty switching is now available.
STATUS_T_MOBILE_BLOCKED,BASE-T-04 尚未符合研究條件或資源不足。,BASE-T-04 requirements are not met or resources are insufficient.
STATUS_T_MOBILE_OWNED,移動資格已擁有。切換勤務以扎根／拔根。,Mobile Clearance owned. Switch duty to anchor or move.
STATUS_CORE_DAMAGED,核心受損 %d/%d；優先清除接近核心的病原。,Core damaged %d/%d; prioritize pathogens near the core.
STATUS_CORE_DEFENSE,%s：守住核心並清除第一波病原。,%s: defend the core and eliminate the first wave.
STATUS_EXPEDITION,遠征開始：轉換勤務，再移動到前方亮圈維持淨化。,Expedition started: switch duty and hold inside the glowing cleanse zone.
STATUS_TOTAL_WAR,總力戰：擊破 %s。固定勤務攻速較高。,Total war: defeat %s. Fixed duty has a higher fire rate.
RESULT_REWARDS,抗原 +%d · 生物質 +%d · 一度原質 +%d,Antigen +%d · Biomass +%d · Protomass +%d
RESULT_VICTORY_TITLE,免疫任務完成,Immune Mission Complete
RESULT_VICTORY_SUMMARY,核心安全、前線已淨化、Boss 已清除。,Core secured. Front line cleansed. Boss eliminated.
RESULT_REWARD_LINE,獎勵：%s,Rewards: %s
RESULT_DEFEAT_TITLE,核心失守,Core Lost
RESULT_DEFEAT_BODY,%s 失敗。返回任務台更換細胞或調整策略後再試。,%s failed. Return to the mission desk and adjust your cell or strategy.
PHASE_CORE_DEFENSE,第一階段 · 核心防守,Phase 1 · Core Defense
PHASE_EXPEDITION,第二階段 · 前線淨化,Phase 2 · Front-line Cleanse
PHASE_TOTAL_WAR,第三階段 · 總力戰,Phase 3 · Total War
PHASE_VICTORY,任務完成,Mission Complete
PHASE_DEFEAT,任務失敗,Mission Failed
OBJECTIVE_CORE_DEFENSE,目標：清除病原 %d/%d,Objective: eliminate pathogens %d/%d
OBJECTIVE_EXPEDITION,目標：進入前線並維持淨化 %.1f/%.1f 秒,Objective: hold the cleanse zone %.1f/%.1f sec
OBJECTIVE_TOTAL_WAR,目標：擊破 %s,Objective: defeat %s
OBJECTIVE_VICTORY,三段任務全部完成,All three mission phases complete
OBJECTIVE_DEFEAT,核心生命歸零,Core health depleted
T 細胞,T 細胞,T Cell
B 細胞,B 細胞,B Cell
巨噬細胞,巨噬細胞,Macrophage
NK 細胞,NK 細胞,NK Cell
抗體構造體,抗體構造體,Antibody Construct
樹突細胞,樹突細胞,Dendritic Cell
處決者,處決者,Executioner
均衡射程；扎根後攻速優秀。,均衡射程；扎根後攻速優秀。,Balanced range with excellent anchored fire rate.
集中處決,集中處決,Focused Execution
目標生命低於 30% 時，每發追加 2 點傷害。,目標生命低於 30% 時，每發追加 2 點傷害。,Deals 2 bonus damage per shot to targets below 30% health.
抗體砲台,抗體砲台,Antibody Artillery
攻擊較慢，但每發造成高傷害。,攻擊較慢，但每發造成高傷害。,Fires slowly but each shot deals heavy damage.
抗體標記,抗體標記,Antibody Mark
連續命中同一目標會疊加標記，後續每層追加 1 點傷害，最多 2 層。,連續命中同一目標會疊加標記，後續每層追加 1 點傷害，最多 2 層。,Repeated hits mark the same target. Each prior stack adds 1 damage up to 2 stacks.
吞噬重裝,吞噬重裝,Phagocyte Heavy
近距高傷，移動較慢。,近距高傷，移動較慢。,High close-range damage with slower movement.
吞噬重擊,吞噬重擊,Phagocyte Slam
以較短射程換取高單發傷害。,以較短射程換取高單發傷害。,Trades range for high damage per shot.
快速獵手,快速獵手,Rapid Hunter
射速與移動速度最高，但單發傷害較低。,射速與移動速度最高，但單發傷害較低。,Highest fire and move speed with lower damage per shot.
天然連射,天然連射,Natural Barrage
以最高基礎射速持續壓制病原。,以最高基礎射速持續壓制病原。,Suppresses pathogens with the highest base fire rate.
機動中繼,機動中繼,Mobile Relay
漂浮移動；中繼模式提升遠距支援。,漂浮移動；中繼模式提升遠距支援。,Floats while moving; relay mode extends ranged support.
遠距中繼,遠距中繼,Long-range Relay
擁有最長射程並可在移動勤務保持火力。,擁有最長射程並可在移動勤務保持火力。,Has the longest range and keeps firing while mobile.
標記先鋒,標記先鋒,Marker Vanguard
中遠距穩定輸出與良好機動。,中遠距穩定輸出與良好機動。,Stable mid-range damage with good mobility.
先鋒標定,先鋒標定,Vanguard Designation
以均衡射程、傷害與機動維持穩定命中。,以均衡射程、傷害與機動維持穩定命中。,Maintains reliable hits through balanced range damage and mobility.
SKILL_T_ACTIVE_NAME,處決爆發,Execution Burst
SKILL_T_ACTIVE_DESCRIPTION,鎖定最低生命目標並追加處決傷害。,Targets the lowest-health pathogen and adds execution damage.
SKILL_B_ACTIVE_NAME,抗體震波,Antibody Wave
SKILL_B_ACTIVE_DESCRIPTION,向範圍內多個病原施加強效抗體標記。,Marks multiple nearby pathogens with amplified antibodies.
SKILL_M_ACTIVE_NAME,吞噬震地,Phagocyte Slam
SKILL_M_ACTIVE_DESCRIPTION,以近距高傷震波清除密集病原。,A high-damage close-range shockwave for clustered pathogens.
SKILL_N_ACTIVE_NAME,嗜中性突襲,Neutrophil Rush
SKILL_N_ACTIVE_DESCRIPTION,快速掃擊多個前線目標。,Rapidly strikes several front-line targets.
SKILL_A_ACTIVE_NAME,中繼光束,Relay Beam
SKILL_A_ACTIVE_DESCRIPTION,以超長射程串聯三個目標。,Relays a long-range beam across three targets.
SKILL_D_ACTIVE_NAME,哨戒脈衝,Sentinel Pulse
SKILL_D_ACTIVE_DESCRIPTION,打擊附近病原並修復免疫核心。,Hits nearby pathogens and repairs the immune core.
接觸,接觸,Contact
感染,感染,Infection
危機,危機,Crisis
變異,變異,Mutation
蔓延,蔓延,Spread
系統危殆,系統危殆,System Critical
L01 · 核心圍城,L01 · 核心圍城,L01 · Core Siege
快速菌群正沿血管逼近。完成防守、推進淨化區，再擊破核心破壞者。,快速菌群正沿血管逼近。完成防守、推進淨化區，再擊破核心破壞者。,Fast bacterial clusters are advancing through the vessel. Defend cleanse and destroy the Core Breaker.
L02 · 血流感染,L02 · 血流感染,L02 · Bloodstream Infection
孢子載體已穿過第一道防線。敵人更耐久，生成速度亦更快。,孢子載體已穿過第一道防線。敵人更耐久，生成速度亦更快。,Spore carriers breached the first defense. Enemies are tougher and spawn faster.
L03 · 細胞因子風暴,L03 · 細胞因子風暴,L03 · Cytokine Storm
裝甲病原與細胞因子巨像同時出現。保持火力並留意高壓推進。,裝甲病原與細胞因子巨像同時出現。保持火力並留意高壓推進。,Armored pathogens and the Cytokine Colossus appear together. Maintain fire and watch for pressure surges.
L04 · 突變缺口,L04 · 突變缺口,L04 · Mutation Breach
擬態病原會在低生命時突然加速。維持集中火力，避免殘血敵人穿越防線。,擬態病原會在低生命時突然加速。維持集中火力，避免殘血敵人穿越防線。,Mutators accelerate at low health. Focus fire before wounded enemies cross the line.
L05 · 生物膜王庭,L05 · 生物膜王庭,L05 · Biofilm Regency
生物膜載體會在火力中斷後再生。選定目標後持續射擊，逐一拆除菌王防線。,生物膜載體會在火力中斷後再生。選定目標後持續射擊，逐一拆除菌王防線。,Biofilm carriers regenerate when fire stops. Maintain focus and dismantle the regent's defense.
L06 · 系統崩解,L06 · 系統崩解,L06 · Systemic Collapse
最終融合病原同時擁有突變加速與離火再生。勤務切換與目標集中將決定核心存亡。,最終融合病原同時擁有突變加速與離火再生。勤務切換與目標集中將決定核心存亡。,The final fusion pathogen combines low-health acceleration and regeneration. Duty timing and focus fire decide the core's fate.
快速菌群,快速菌群,Fast Bacterial Cluster
核心破壞者,核心破壞者,Core Breaker
孢子載體,孢子載體,Spore Carrier
孢子母體,孢子母體,Spore Queen
裝甲病原,裝甲病原,Armored Pathogen
細胞因子巨像,細胞因子巨像,Cytokine Colossus
突變擬態體,突變擬態體,Mutating Mimic
突變巢母,突變巢母,Mutation Hive
生物膜載體,生物膜載體,Biofilm Carrier
生物膜菌王,生物膜菌王,Biofilm Regent
高毒性融合體,高毒性融合體,Virulent Fusion
系統吞噬者,系統吞噬者,Systemic Devourer
RESEARCH_UI_SUBTITLE,永久研究網絡,Permanent Research Network
RESEARCH_UI_COMPLETE_TOAST,研究完成，永久進度已更新。,Research complete. Permanent progress updated.
RESEARCH_UI_CAMPAIGN_CHIP,關卡 %s · %s,Mission %s · %s
RESEARCH_UI_RESOURCE_SUMMARY,一度原質 %d · 融合核心 %d · 生物質 %d,Protomass %d · Fusion Cores %d · Biomass %d
RESEARCH_UI_SELECT_NODE,選擇一個研究節點,Select a research node
RESEARCH_UI_UNKNOWN_NAME,未知研究,Unknown Research
RESEARCH_UI_UNKNOWN_DESCRIPTION,此研究尚未被發現。,This research has not been discovered.
RESEARCH_STATUS_COMPLETED,已完成,Completed
RESEARCH_STATUS_READY,可研究,Ready to research
RESEARCH_STATUS_MISSING_PREREQUISITE,缺少前置,Missing prerequisite
RESEARCH_STATUS_MISSING_RESOURCE,資源不足,Insufficient resources
RESEARCH_STATUS_HIDDEN,未發現,Undiscovered
RESEARCH_STATUS_LOCKED,鎖定,Locked
RESEARCH_STATUS_REQUIRES_MISSION,需解鎖關卡 %s,Unlock mission %s
RESEARCH_STATUS_REQUIRES_DISCOVERY,需遠征發現,Requires expedition discovery
RESEARCH_STATUS_MISSING_CONDITION,缺少條件,Missing condition
RESEARCH_UI_TRACK,追蹤,Track
RESEARCH_UI_UNTRACK,取消追蹤,Untrack
RESEARCH_UI_TREE,研究樹 %s,Research route %s
RESEARCH_UI_REQUIRES_UNLOCK,需解鎖 %s · %s,Unlock %s · %s
RESEARCH_UI_MISSION,關卡 %s,Mission %s
RESEARCH_STAT_ATTACK_SPEED,全體攻速,Global attack speed
RESEARCH_STAT_MOVE_SPEED,全體移速,Global movement speed
RESEARCH_STAT_COOLDOWN,技能冷卻縮短,Skill cooldown reduction
RESEARCH_STAT_CORE_REGEN,核心修復,Core repair
RESEARCH_STAT_UNIT_REGEN,單位再生,Unit regeneration
RESEARCH_STAT_BIOMASS_YIELD,生物質回收,Biomass recovery
RESEARCH_STAT_CRIT_CHANCE,暴擊率,Critical chance
RESEARCH_STAT_WEAKNESS_AMP,弱點放大,Weakness amplification
RESEARCH_STAT_ARMOR_SHRED,腐蝕破甲,Corrosive armor shred
RESEARCH_STAT_ENEMY_SLOW,敵人緩速,Enemy slow
RESEARCH_STAT_PATH_SLOW,路線減速,Route slow
RESEARCH_EFFECT_DUTY_FIXED,（固定）, (fixed)
RESEARCH_EFFECT_DUTY_MOBILE,（移動）, (mobile)
RESEARCH_EFFECT_UNLOCK_CORE_LAYER,解鎖核心亞層：%s,Unlock Core sub-layer: %s
RESEARCH_EFFECT_STRENGTHEN_STATUS,強化狀態化學：%s,Strengthen Status Chemistry: %s
RESEARCH_EFFECT_GRANT_MOBILE_DUTY,授予移動勤務,Grant mobile duty
RESEARCH_EFFECT_GRANT_FIXED_RELAY_DUTY,授予固定中繼勤務,Grant fixed relay duty
RESEARCH_EFFECT_GRANT_FIXED_TURRET_DUTY,授予固定炮台勤務,Grant fixed turret duty
RESEARCH_EFFECT_UNLOCK_DEPLOYMENT,解鎖部署資格,Unlock deployment clearance
RESEARCH_COST_FREE,成本：免費,Cost: Free
RESEARCH_COST_PREFIX,成本：%s,Cost: %s
RESEARCH_UI_VIEW_ALL,顯示全圖,View full network
RESEARCH_UI_RETURN_CORE,返回核心,Return to Core
RESEARCH_UI_START_MISSION,開始免疫任務,Start immune mission
