keys,zh_HK,en
RESEARCH_CORE_IMMUNE_NAME,免疫核心,Immune Core
RESEARCH_CORE_IMMUNE_DESCRIPTION,整張永久研究網絡的起點。核心外圍是六層全域基建（防線、遠征、戰爭、機動、融合、生存）與狀態化學，不綁單一家族。,"The origin of the permanent research network. Six global infrastructure rings—Defense, Expedition, War, Mobility, Fusion, and Survival—plus Status Chemistry surround the Core without belonging to one family."
RESEARCH_CHAR_BASE_T_NAME,T 細胞,T Cell
RESEARCH_CHAR_BASE_T_DESCRIPTION,T 細胞 的角色身份錨點，標示此家族的研究扇區起點。,T Cell identity anchor marking the start of this family's research sector.
RESEARCH_CHAR_BASE_B_NAME,B 細胞,B Cell
RESEARCH_CHAR_BASE_B_DESCRIPTION,B 細胞 的角色身份錨點，標示此家族的研究扇區起點。,B Cell identity anchor marking the start of this family's research sector.
RESEARCH_CHAR_BASE_M_NAME,巨噬細胞,Macrophage
RESEARCH_CHAR_BASE_M_DESCRIPTION,巨噬細胞 的角色身份錨點，標示此家族的研究扇區起點。,Macrophage identity anchor marking the start of this family's research sector.
RESEARCH_CHAR_BASE_N_NAME,NK 細胞,NK Cell
RESEARCH_CHAR_BASE_N_DESCRIPTION,NK 細胞 的角色身份錨點，標示此家族的研究扇區起點。,NK Cell identity anchor marking the start of this family's research sector.
RESEARCH_CHAR_BASE_A_NAME,抗體構造體,Antibody Construct
RESEARCH_CHAR_BASE_A_DESCRIPTION,抗體構造體 的角色身份錨點，標示此家族的研究扇區起點。,Antibody Construct identity anchor marking the start of this family's research sector.
RESEARCH_CHAR_BASE_D_NAME,樹突細胞,Dendritic Cell
RESEARCH_CHAR_BASE_D_DESCRIPTION,樹突細胞 的角色身份錨點，標示此家族的研究扇區起點。,Dendritic Cell identity anchor marking the start of this family's research sector.
RESEARCH_CHAR_PAIR_TB_NAME,記憶獵手,Memory Hunter
RESEARCH_CHAR_PAIR_TB_DESCRIPTION,記憶獵手 雙家族融合角色錨點，匯聚 T 與 B 兩系能力。,"Memory Hunter, a dual-family fusion character anchor combining the T and B lineages."
RESEARCH_CHAR_PAIR_TM_NAME,吞噬突擊,Phagocyte Assault
RESEARCH_CHAR_PAIR_TM_DESCRIPTION,吞噬突擊 雙家族融合角色錨點，匯聚 T 與 M 兩系能力。,"Phagocyte Assault, a dual-family fusion character anchor combining the T and M lineages."
RESEARCH_CHAR_PAIR_TN_NAME,細胞毒刃,Cytotoxic Blade
RESEARCH_CHAR_PAIR_TN_DESCRIPTION,細胞毒刃 雙家族融合角色錨點，匯聚 T 與 N 兩系能力。,"Cytotoxic Blade, a dual-family fusion character anchor combining the T and N lineages."
RESEARCH_CHAR_PAIR_TA_NAME,精準抗體,Precision Antibody
RESEARCH_CHAR_PAIR_TA_DESCRIPTION,精準抗體 雙家族融合角色錨點，匯聚 T 與 A 兩系能力。,"Precision Antibody, a dual-family fusion character anchor combining the T and A lineages."
RESEARCH_CHAR_PAIR_TD_NAME,免疫指揮,Immune Command
RESEARCH_CHAR_PAIR_TD_DESCRIPTION,免疫指揮 雙家族融合角色錨點，匯聚 T 與 D 兩系能力。,"Immune Command, a dual-family fusion character anchor combining the T and D lineages."
RESEARCH_CHAR_PAIR_BM_NAME,抗原處理,Antigen Processing
RESEARCH_CHAR_PAIR_BM_DESCRIPTION,抗原處理 雙家族融合角色錨點，匯聚 B 與 M 兩系能力。,"Antigen Processing, a dual-family fusion character anchor combining the B and M lineages."
RESEARCH_CHAR_PAIR_BN_NAME,標記處決,Marked Execution
RESEARCH_CHAR_PAIR_BN_DESCRIPTION,標記處決 雙家族融合角色錨點，匯聚 B 與 N 兩系能力。,"Marked Execution, a dual-family fusion character anchor combining the B and N lineages."
RESEARCH_CHAR_PAIR_BA_NAME,抗體風暴,Antibody Storm
